가맹점ID,가맹점명,가맹점유형코드,시도명,시군구명,시군구코드,소재지도로명주소,소재지도로명주소상세정보,소재지지번주소,소재지지번주소상세정보,전화번호,사업자번호,종사업자번호,대표자명,사업자상태,사업자상태변경일,프랜차이즈명,일반직영,음식점분류,시설정보구분,위도,경도,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,배달시작시각,배달종료시각,아침점심저녁구분,배달가능여부,관리기관,관리기관전화번호,데이터기준일자
22110029,이마트24 S대구은행역점,20,대구,수성구,27260,달구벌대로 2300,대구은행역,수성동4가 1085-32,대구은행역,070-4762-5999,5728801138,,박진홍,01,,이마트 24,01,23,60,35.85973955,128.6142269,0600,0000,0600,0000,0600,0000,,,1+3+5,N,수성구청,053-666-4646,2022-11-01 13:35:42
22110028,이마트24 경북대병원점,20,대구,중구,27110,동덕로 125,봄봄빌딩,삼덕동2가 101-1,봄봄빌딩,053-255-9718,1300598168,,박신석,01,,이마트 24,01,23,60,35.86587275,128.6030417,0000,0000,0000,0000,0000,0000,,,1+3+5,N,중구청,053-661-2535,2022-11-01 13:35:04
22110027,(주)제네스 나인 이마트24 반월당제네스점,20,대구,중구,27110,중앙대로 312,반월당 아너스 제네스타워 오피스텔,남산동 694-3,반월당 아너스 제네스타워 오피스텔,053-253-8883,1048641379,,이현구,01,,이마트 24,01,23,60,35.86078795,128.5930314,0700,0100,0700,0100,0700,0100,,,1+3+5,N,중구청,053-661-2535,2022-11-01 13:34:27
22110026,또바기막창왕갈비,10,대구,달서구,27290,호산동로36남길 18,,호산동 386-8,,053-588-2256,8590601932,,윤용익,01,2022-07-01,,03,13,30,35.84996843,128.4863104,1000,1600,1000,1600,1000,1600,1100,2200,1+3+5,Y,달서구청,053-667-2536,2022-11-01 13:33:26
22110025,이마트24 R대구대봉점,20,대구,중구,27110,대봉로 238,,대봉동 55-94,,02-6916-1500,5043142054,,천종호,01,,이마트 24,01,23,60,35.85982635,128.6011972,0000,0000,0000,0000,0000,0000,,,1+3+5,N,중구청,053-661-2535,2022-11-01 13:33:18
22110024,이마트24 대명센트럴점,20,대구,남구,27200,대명로14길 69,,대명동 1091-12,,02-6916-1500,5148183571,,박정호,01,,이마트 24,01,23,60,35.83601782,128.5650037,0000,0000,0000,0000,0000,0000,,,1+3+5,N,남구청,053-664-2556,2022-11-01 13:32:33
22110023,이마트24 R대구감삼중앙점,20,대구,달서구,27290,달구벌대로330길 47,,감삼동 117-23,,053-559-2600,2273000728,,권영분,01,,이마트 24,01,23,60,35.85126916,128.5465852,0000,0000,0000,0000,0000,0000,,,1+3+5,N,달서구청,053-667-2536,2022-11-01 13:31:56
22110022,덮밥90도씨,10,대구,달서구,27290,계대동문로9길 21,,신당동 486,,053-716-4777,5052679768,,노기영,01,2022-07-01,덮밥90도씨,01,13,30,35.8566278,128.4972265,0840,2030,0840,2030,0840,2030,,,1+3+5,N,달서구청,053-667-2536,2022-11-01 13:31:17
22110021,이마트24 R대구용산센타점,20,대구,달서구,27290,달구벌대로301길 187,,용산동 932-2,,053-523-0053,5953600133,,권영균,01,,이마트 24,01,23,60,35.85830098,128.5313039,0700,0200,0700,0200,0700,0200,,,1+3+5,N,달서구청,053-667-2536,2022-11-01 13:31:08
22110020,킹콩푸드,10,대구,달서구,27290,이곡서로7길 12-6,,이곡동 1206-6,,053-633-9999,8710901457,,김상섭,01,2021-10-01,킹콩덮밥,01,13,30,35.85360962,128.5027352,1100,0000,1100,0000,1100,0000,1100,2350,3+5,Y,달서구청,053-667-2536,2022-11-01 13:30:22
22110019,세븐일레븐 진천대영점,20,대구,달서구,27290,진천로10길 48,,진천동 251-1,,053-636-2631,3277200241,,이은주,01,,세븐일레븐,01,23,60,35.81204347,128.5261733,0000,0000,0000,0000,0000,0000,,,1+3+5,N,달서구청,053-667-2536,2022-11-01 13:30:20
22110018,세븐일레븐 대구세천에이스점,20,대구,달성군,27710,세천북로 38,,다사읍 세천리 1560-6,,1577-0711,3090851396,,권원희,01,,세븐일레븐,01,23,60,35.87797265,128.4777297,0000,0000,0000,0000,0000,0000,,,1+3+5,N,달성군청,053-668-2687,2022-11-01 13:29:21
22110017,지에스(GS)25 대구오봉로점,20,대구,북구,27230,오봉로 19,,노원동2가 226,,053-353-0226,6285600576,,김상도,01,,GS25,01,23,60,35.88959338,128.5762023,0000,0000,0000,0000,0000,0000,,,1+3+5,N,북구청,053-665-2527,2022-11-01 13:28:44
22110016,세븐일레븐 경대행복점,20,대구,동구,27140,경대로 84,,신암동 688-11,,053-941-9056,5021843776,,허진,01,,세븐일레븐,01,23,60,35.88805661,128.6165179,0000,0000,0000,0000,0000,0000,,,1+3+5,N,동구청,053-662-2744,2022-11-01 13:28:40
22110015,CU 대구신서혁신도시1호점,20,대구,동구,27140,첨단로 30,이노빌딩 1층 107호,신서동 1149,이노빌딩 1층 107호,053-961-5752,6446000352,,이승연,01,,CU,01,23,60,35.87872066,128.7304625,0000,0000,0000,0000,0000,0000,,,1+3+5,N,동구청,053-662-2744,2022-11-01 13:28:04
22110014,세븐일레븐 대구봉무점,20,대구,동구,27140,팔공로 320-1,,봉무동 1520-1,,053-984-2524,2440200716,,김민정,01,,세븐일레븐,01,23,60,35.92730249,128.642186,0000,0000,0000,0000,0000,0000,,,1+3+5,N,동구청,053-662-2744,2022-11-01 13:27:50
22110013,씨유(CU)태전희망점,20,대구,북구,27230,매전로 78,,태전동 1125,,053-311-3159,4064500534,,황영철,01,,CU,01,23,60,35.91258568,128.5468454,0000,0000,0000,0000,0000,0000,,,1+3+5,N,북구청,053-665-2527,2022-11-01 13:27:24
22110012,GS25 대구연경점,20,대구,북구,27230,동화천로 245,,연경동 960,,0507-1339-4158,2902001013,,김의분,01,,GS25,01,23,60,35.94265509,128.617911,0000,0000,0000,0000,0000,0000,,,1+3+5,N,북구청,053-665-2527,2022-11-01 13:26:54
22110009,CU 대구국우점,20,대구,북구,27230,동암로37길 18,,국우동 1089-12,,053-312-5006,4974100435,,김가령,01,,CU,01,23,60,35.94479148,128.5715019,0000,0000,0000,0000,0000,0000,,,1+3+5,N,북구청,053-665-2527,2022-11-01 13:23:43
22110008,지에스(GS)25 대구비산그린점,20,대구,서구,27170,달서로 163,,비산동 511-13,,1644-5425,2070742110,,김현정,01,,GS25,01,23,60,35.87685966,128.5710113,0000,0000,0000,0000,0000,0000,,,1+3+5,N,서구청,053-663-2613,2022-11-01 13:23:06
22110007,세븐일레븐 별빛중앙점,20,대구,북구,27230,산격로 33,,산격동 1429,,1577-0711,2960902432,,김성섭,01,,세븐일레븐,01,23,60,35.89356963,128.6050818,0000,0000,0000,0000,0000,0000,,,1+3+5,N,북구청,053-665-2527,2022-11-01 13:22:24
22110005,영림칼국수,10,대구,달서구,27290,호산동로35길 14-19,,호산동 365-14,,053-591-5555,2050597046,,김은숙,01,,,03,13,30,35.8516262,128.4848172,1000,2100,1000,2000,1000,2000,1000,2050,1+3+5,Y,달서구청,053-667-2536,2022-11-01 11:24:21
22110004,승짬뽕,10,대구,북구,27230,한강로6길 8-7,,사수동 941,,053-322-0334,2081561809,,이승윤,01,2022-07-01,,03,11,30,35.89638062,128.515087,1100,2200,1100,2200,0000,0000,1100,2200,3+5,Y,북구청,053-665-2527,2022-11-01 11:22:43
22110001,세븐일레븐  대구삼덕2가점,20,대구,중구,27110,공평로8길 44,,삼덕동2가 111-1,,053-427-0711,5021826549,,김정순,01,,세븐일레븐,01,23,60,35.86636314,128.6022929,0000,0000,0000,0000,0000,0000,,,1+3+5,N,중구청,053-661-2535,2022-11-01 10:36:42
22102241,세븐일레븐 대구송현별빛점,20,대구,달서구,27290,월배로69길 39,1층,송현동 1917,1층,0507-1437-8558,6561901444,,김수한,01,,세븐일레븐,01,23,60,35.82739815,128.5458279,0000,0000,0000,0000,0000,0000,,,1+3+5,N,달서구청,053-667-2536,2022-10-31 16:46:20
22102240,세븐일레븐  두류로마점,20,대구,달서구,27290,장기로 25,두류파크빌리지 1층 101호(성당동),성당동 198-6,두류파크빌리지 1층 101호(성당동),0507-1443-0711,7523200913,,안상필,01,,세븐일레븐,01,23,60,35.8411187,128.5565056,0000,0000,0000,0000,0000,0000,,,1+3+5,N,달서구청,053-667-2536,2022-10-31 16:45:39
22102239,세븐일레븐 대구공업대학교점,20,대구,달서구,27290,송현로 205,대구공업대학교 공학관2동 1층,본동 831,대구공업대학교 공학관2동 1층,1577-0711,5320900761,,박미혜,01,,세븐일레븐,01,23,60,35.83408184,128.5443283,0800,2200,0800,2200,0800,2200,,,1+3+5,N,달서구청,053-667-2536,2022-10-31 16:43:53
22102238,(주)코리아세븐 대구중리일신점,20,대구,서구,27170,당산로47길 69,중리일신아파트,중리동 720-1,중리일신아파트,053-556-4445,2598501404,,최경호,01,,세븐일레븐,01,23,60,35.85619704,128.5438582,0000,0000,0000,0000,0000,0000,,,1+3+5,N,서구청,053-663-2613,2022-10-31 16:42:54
22102237,(주) 코리아세븐 대구중리롯데캐슬점,20,대구,서구,27170,국채보상로34길 12,중리롯데캐슬,중리동 26-1,중리롯데캐슬,053-523-1711,5038532124,,정성훈,01,,세븐일레븐,01,23,60,35.86542048,128.5476699,0000,0000,0000,0000,0000,0000,,,1+3+5,N,서구청,053-663-2613,2022-10-31 16:42:05
22102236,세븐일레븐 대구우방랜드점,20,대구,달서구,27290,두류공원로 244,,두류동 147-6,,053-654-2807,5038512924,,박준식,01,,세븐일레븐,01,23,60,35.85543213,128.559702,0000,0000,0000,0000,0000,0000,,,1+3+5,N,달서구청,053-667-2536,2022-10-31 16:20:42
22102235,씨유(CU) 대구상인드림점,20,대구,달서구,27290,월곡로 268-6,,상인동 1507,,053-638-1445,4803601107,,윤정숙,01,,CU,01,23,60,35.8184492,128.5393069,0000,0000,0000,0000,0000,0000,,,1+3+5,N,달서구청,053-667-2536,2022-10-31 16:19:58
22102233,칭구짬뽕,10,대구,동구,27140,송라로 1,,신천동 845-12,,053-253-1007,6076370753,,김진익,01,2013-07-01,,03,11,30,35.86810719,128.6184054,1000,2100,1000,2100,1000,2100,,,1+3+5,N,동구청,053-662-2744,2022-10-26 16:36:48
22102231,이마트24 대구테크노원룸점,20,대구,달성군,27710,현풍로47길 16,,유가읍 쌍계리 617-5,,02-6916-1500,1395001850,,이명화,01,,이마트 24,01,23,60,35.70049382,128.4639927,0600,0000,0600,0000,0600,0000,,,1+3+5,N,달성군청,053-668-2687,2022-10-26 15:15:08
22102229,세븐일레븐대구무열로점,20,대구,수성구,27260,무열로 47,만촌태왕리더스,만촌동 995-1,만촌태왕리더스,053-745-2631,5028532553,,최경호,01,,세븐일레븐,01,23,60,35.86316277,128.6478617,0000,0000,0000,0000,0000,0000,,,1+3+5,N,수성구청,053-666-4646,2022-10-26 13:27:09
22102228,세븐일레븐 대구황실점,20,대구,동구,27140,동부로 72,,신천동 278-47,,053-745-2022,2591401874,,고광업,01,,세븐일레븐,01,23,60,35.87500937,128.6203505,0000,0000,0000,0000,0000,0000,,,1+3+5,N,동구청,053-662-2744,2022-10-26 11:16:26
22102227,메이슈,10,대구,수성구,27260,지범로 49,동선빌딩,지산동 1160-34,동선빌딩,053-784-0977,5042549212,,윤준우,01,2016-07-01,,03,13,30,35.82627269,128.6275742,1000,2000,1000,2000,1000,2000,1000,2000,1+3+5,Y,수성구청,053-666-4646,2022-10-25 16:02:43
22102226,황태대감식당,10,대구,달성군,27710,현풍중앙로 38-4,,현풍읍 중리 313-5,,053-615-3077,3771302058,,이덕경,01,,,03,13,30,35.69262822,128.4469397,0800,1400,0800,1400,0800,1400,0800,1400,1+3+5,Y,달성군청,053-668-2687,2022-10-25 14:54:53
22102224,떡군이네떡볶이 수성구점,10,대구,수성구,27260,청수로20길 33,,두산동 18-5,,053-214-8632,3931301954,,김재엽,01,2022-07-01,떡군이네떡볶이,01,12,30,35.83936613,128.6200599,1100,0300,1100,0300,1100,0300,1100,0300,3+5,Y,수성구청,053-666-4646,2022-10-24 09:02:38
22102223,주식회사 설가,10,대구,달서구,27290,달구벌대로 1467,,용산동 230-11,,053-554-8004,1368136198,,권미리,01,,,03,13,30,35.84945361,128.5274058,1100,2000,1100,2000,1100,2000,1100,2000,3+5,Y,달서구청,053-667-2536,2022-10-21 16:19:46
22102222,찬스딜리버리,10,대구,수성구,27260,달구벌대로627길 14-23,,매호동 1337-11,,0507-1331-9609,2945400670,,장병찬,01,,곱창폭식,01,13,30,35.84234558,128.702758,1000,0230,1000,0230,1000,0230,1000,0230,1+3+5,Y,수성구청,053-666-4646,2022-10-21 14:51:15
22102221,카츠윤(수제돈가스),10,대구,중구,27110,중앙대로62길 9,,남산동 695-5,,053-426-7711,2931001876,,천해림,01,,,03,13,30,35.86043864,128.5930332,0930,2350,0930,2350,0930,2350,0930,2350,1+3+5,Y,중구청,053-661-2535,2022-10-21 14:49:29
22102220,개정,10,대구,중구,27110,동성로 36-6,근린생활시설 2층,동성로2가 65-1,근린생활시설 2층,053-422-0366,7970201242,,김성완,01,,개정,01,13,30,35.87007916,128.5964881,1100,2100,1100,2100,1100,2100,1040,2030,3+5,Y,중구청,053-661-2535,2022-10-21 14:38:15
22102219,한마당,10,대구,달서구,27290,달구벌대로 1208,,신당동 311-30,,053-591-2266,8201100787,,김경숙,01,,한마당,01,13,30,35.85150239,128.4995084,1100,2200,1100,2200,1100,2200,1100,2200,3+5,Y,달서구청,053-667-2536,2022-10-21 14:27:57
22102218,정푸드,10,대구,달서구,27290,파도고개로 124,,두류동 1254-8,,053-629-7002,8195700446,,양정민,01,2020-07-01,,03,13,30,35.8552168,128.5688399,0900,0000,0900,0000,0900,0000,1020,2040,1+3+5,Y,달서구청,053-667-2536,2022-10-21 14:26:50
22102217,신오복 돼지국밥 대명점,10,대구,남구,27200,현충로 152,,대명동 1713-16,,053-657-8254,8193900632,,김동석,01,,,03,13,30,35.84648371,128.5802854,1000,2100,1000,2100,1000,2100,1000,2100,1+3+5,Y,남구청,053-664-2556,2022-10-21 14:25:15
22102216,단지막창,10,대구,달서구,27290,호산동로 168-1,,호산동 383-3,,053-588-1871,8191201202,,강순구,01,,단지막창,01,13,30,35.85027034,128.4860178,1700,0030,1700,0030,1700,0030,1700,0030,5,Y,달서구청,053-667-2536,2022-10-21 14:23:42
22102215,선비꼬마김밥 구지점,10,대구,달성군,27710,과학마을로 54,,구지면 응암리 1208,,053-616-6257,8190601685,,정소영,01,,선비꼬마김밥,01,12,30,35.65559401,128.4192331,0700,2000,0700,2000,0700,2000,0900,1930,1+3+5,Y,달성군청,053-668-2687,2022-10-21 14:22:30
22102214,철포 아구 복어,10,대구,달서구,27290,달구벌대로245길 15,,이곡동 533-5,,053-287-7727,8181801399,,손재활,01,,,03,13,30,35.85264637,128.502598,0900,0850,0900,0850,0900,0850,0900,0850,1+3+5,Y,달서구청,053-667-2536,2022-10-21 14:20:12
22102213,치킨마루 현풍점,10,대구,달성군,27710,테크노중앙대로5길 2-2,,현풍읍 중리 471-2,,053-615-0385,3122969602,,고국진,01,2013-07-01,치킨마루,01,13,30,35.69801112,128.4574238,1000,0100,1000,0100,1000,0100,1000,0100,1+3+5,Y,달성군청,053-668-2687,2022-10-21 14:14:01
22102212,개정,10,대구,동구,27140,팔공로53길 77-2,,봉무동 1543-5,,053-982-3800,3354000426,,윤희주,01,,개정,01,13,30,35.92219623,128.6364659,1030,2130,1030,2130,1030,2130,1100,2040,1+3+5,Y,동구청,053-662-2744,2022-10-21 14:12:36
22102211,요리공간,10,대구,달서구,27290,상원로 74,,상인동 307-14,,070-4647-0746,3353200950,,정병권,01,2022-07-01,,03,11,30,35.8157656,128.5340247,1600,0140,1600,0140,1600,0140,1600,0140,5,Y,달서구청,053-667-2536,2022-10-21 14:12:04
22102210,앞산큰골집본점,10,대구,남구,27200,큰골길 35,,대명동 722-2,,053-626-0888,3352200887,,김주언,01,2020-07-01,앞산큰골집,02,13,30,35.83755949,128.578157,1130,2200,1130,2200,1130,2200,1120,2140,3+5,Y,남구청,053-664-2556,2022-10-21 14:11:29
22102209,도도분식,10,대구,중구,27110,남산로 30,극동 스타클래스 남산,남산동 3000,극동 스타클래스 남산,0507-1350-5026,3344800619,,김숭실,01,2022-07-01,,03,12,60,35.85926026,128.5833652,1600,0000,1230,0000,1230,0000,1600,0200,5,Y,중구청,053-661-2535,2022-10-21 14:10:47
22102208,만나짬뽕,10,대구,달서구,27290,호산동로36남길 16,,호산동 386-7,,053-593-8281,3312701098,,남종록,01,2022-07-01,,03,11,30,35.84996904,128.4861961,0920,0000,0920,0000,0920,0000,0920,0000,1+3+5,Y,달서구청,053-667-2536,2022-10-21 14:09:54
22102207,옛고을,10,대구,달서구,27290,명덕로2길 70,,두류동 1211-37,,053-472-4200,8174700529,,배준석,01,,옛고을,01,13,30,35.85886487,128.5704234,1000,0100,1000,0100,1000,0100,1000,0100,1+3+5,Y,달서구청,053-667-2536,2022-10-21 14:09:47
22102206,대구짬뽕,10,대구,수성구,27260,달구벌대로 2435,두산위브더제니스,범어동 179,두산위브더제니스,053-745-0304,3311501377,,여두리,01,,,03,11,30,35.86098925,128.628268,0950,2000,0950,2000,0950,2000,0950,2000,1+3+5,Y,수성구청,053-666-4646,2022-10-21 14:09:18
22102205,시골뚝배기,10,대구,달성군,27710,세천로 93,,다사읍 세천리 1682-4,,053-588-7150,8165500439,,백종한,01,,시골뚝배기,01,13,30,35.87374814,128.471327,0900,2300,0900,2300,0900,2300,1000,2100,1+3+5,Y,달성군청,053-668-2687,2022-10-21 14:08:41
22102204,육각수냉면,10,대구,달성군,27710,화원로3길 8,,화원읍 천내리 128-14,,053-633-1334,3310901584,,윤보미,01,2021-07-01,육각수냉면,01,13,30,35.80656919,128.4992281,1130,2100,1130,2100,1130,2100,1130,2100,3+5,Y,달성군청,053-668-2687,2022-10-21 14:08:36
22102203,프랭크버거 대구테크노폴리스점,10,대구,달성군,27710,테크노상업로 108,,유가읍 봉리 615,,053-611-7881,3300601256,,정소영,01,,프랭크버거,01,12,60,35.69324688,128.4611351,1000,2200,1000,2200,1000,2200,1000,2100,1+3+5,Y,달성군청,053-668-2687,2022-10-21 14:07:55
22102202,아리야푸드,10,대구,북구,27230,관음중앙로13길 6,,관음동 1308-7,,053-247-9898,3297300341,,임광선,01,2021-07-01,,03,13,30,35.94030445,128.5440734,0900,2300,0900,2300,0900,2300,0900,2300,1+3+5,Y,북구청,053-665-2527,2022-10-21 14:07:18
22102201,싸움의고수 경북대점,10,대구,북구,27230,대학로23길 20,,산격동 1309-7,,1566-4285,8161801258,,배미영,01,2022-07-01,싸움의고수,01,13,30,35.89421705,128.6098371,1100,2100,1100,2100,1100,2100,1100,2000,3+5,Y,북구청,053-665-2527,2022-10-21 14:06:49
22102200,동래분식당,10,대구,남구,27200,대경길 197,,대명동 3014-19,,053-655-3456,3292201111,,이경화,01,,,03,12,30,35.84565522,128.5764008,1000,2000,1000,2000,1000,2000,1000,2000,1+3+5,Y,남구청,053-664-2556,2022-10-21 14:06:45
22102199,김준호의대단한갈비 대구대천점,10,대구,달서구,27290,월배로11길 34,,대천동 471,,050-1400-9879,8161201028,,오현영,01,,김준호의 대단한갈비,01,13,10,35.81639258,128.5194932,0000,0000,0000,0000,0000,0000,0000,0000,1+3+5,Y,달서구청,053-667-2536,2022-10-21 14:05:25
22102198,용기있는 부엌,10,대구,달서구,27290,이곡동로 27,,이곡동 1250-6,,0503-8906-1239,3291801550,,이래현,01,,삼거리 시장국수,01,13,30,35.85425345,128.5105778,2300,0140,2300,0140,2300,0140,2300,0140,5,Y,달서구청,053-667-2536,2022-10-21 14:04:55
22102197,놀부식당,10,대구,남구,27200,중앙대로22길 70,한우그랜드맨션,봉덕동 718-1,한우그랜드맨션,053-474-3885,3282501123,,정윤성,01,,,03,13,30,35.84231661,128.5939632,0900,2200,0900,2200,0900,2200,1000,2100,1+3+5,Y,남구청,053-664-2556,2022-10-21 14:04:02
22102196,황룡,10,대구,북구,27230,태전로 38,,태전동 252-3,,053-324-5425,8160800380,,박광인,01,2017-07-01,,03,11,30,35.92388578,128.5447293,1100,2200,1100,2200,1100,2200,1100,2050,3+5,Y,북구청,053-665-2527,2022-10-21 14:03:02
22102195,만나찌짐,10,대구,동구,27140,효목로 14,,효목동 537-1,,050-7996-7254,8160501321,,백선희,01,,,03,13,30,35.87449698,128.6394934,1100,1930,1100,1930,1100,1930,1100,1930,3+5,Y,동구청,053-662-2744,2022-10-21 14:01:48
22102194,온리고,10,대구,북구,27230,칠곡중앙대로77길 9,,태전동 955-6,,053-312-9689,8142801120,,김재현,01,,,03,11,30,35.9304561,128.5468351,1000,2250,1000,2250,1000,2250,1040,2250,1+3+5,Y,북구청,053-665-2527,2022-10-21 13:59:44
22102193,야키니쿠 고요,10,대구,북구,27230,고성북로 35,,고성동3가 78-4,,0507-1421-1203,8141801136,,김귀애,01,2021-07-01,고성쭈꾸미,01,13,30,35.88307586,128.5822736,1100,2100,1100,2100,1100,2100,1100,2100,3+5,Y,북구청,053-665-2527,2022-10-21 13:58:24
22102192,마차이짬뽕,10,대구,남구,27200,대명로 307-1,,대명동 58-3,,053-626-1117,8133000683,,최학선,01,,마차이짬뽕,01,11,30,35.84514204,128.5894153,1000,2250,1000,2250,1000,2250,1040,2250,1+3+5,Y,남구청,053-664-2556,2022-10-21 13:56:01
22102190,와촌식육식당 성서서재점,10,대구,달성군,27710,서재본길 85,,다사읍 서재리 788,,053-581-8896,8130700157,,이동구,01,,와촌식육식당,01,13,30,35.87353966,128.4877236,1000,2200,1000,2200,1000,2100,1030,2100,1+3+5,Y,달성군청,053-668-2687,2022-10-21 13:53:09
22102189,통떡,10,대구,동구,27140,율하동로 129-2,,신기동 195,,053-962-7895,8124900493,,신동화,01,,통떡볶이,01,12,30,35.87121723,128.7022939,1130,0130,1130,0130,0000,0000,1130,0000,3+5,Y,동구청,053-662-2744,2022-10-21 13:51:04
22102188,주구장창석쇠불판 성서점,10,대구,달서구,27290,선원로23북길 35,,이곡동 1180-15,,053-582-3866,8120900842,,이창익,01,,주구장창석쇠불판,01,13,30,35.86050281,128.5032918,1130,0000,0000,0000,1130,2300,1200,2300,3+5,Y,달서구청,053-667-2536,2022-10-21 13:49:19
22102187,캠토,10,대구,달서구,27290,당산로 143,,감삼동 121-6,,053-555-1309,8120501182,,신승철,01,2021-07-01,,03,12,30,35.8498971,128.5468699,1100,2300,1100,2300,1100,2300,1100,2300,3+5,Y,달서구청,053-667-2536,2022-10-21 13:47:29
22102186,선비꼬마김밥대곡점,10,대구,달서구,27290,갈밭남로 12,대구대곡수목원제일풍경채,대곡동 1123,대구대곡수목원제일풍경채,053-637-0314,8115600732,,여정자,01,,선비꼬마김밥,01,12,30,35.79879456,128.531483,0900,2000,0900,2000,0900,1400,1000,1400,1+3+5,Y,달서구청,053-667-2536,2022-10-21 13:46:08
22102185,닭발고(GO),10,대구,중구,27110,국채보상로 733,,동인동4가 445-6,,053-426-0277,8103600992,,김기현,01,,,03,13,30,35.86869402,128.6109041,1500,2350,1500,0000,0000,0000,1100,0030,3+5,Y,중구청,053-661-2535,2022-10-21 13:44:07
22102184,제육대가(수성점),10,대구,수성구,27260,범어로20길 9,,범어동 208-18,,053-751-8882,8102501210,,송윤라,01,,제육대가,01,13,30,35.85800102,128.6362757,0900,0000,0900,0000,0900,0000,0900,0000,1+3+5,Y,수성구청,053-666-4646,2022-10-21 13:42:06
22102183,상주꿀갈비 냉면,10,대구,달서구,27290,진천로 117,월배이타운,대천동 511-3,월배이타운,053-636-5545,8102001326,,김희정,01,,상주꿀갈비,01,13,30,35.81889126,128.5212715,1100,2200,1100,2200,1100,2200,1100,2200,3+5,Y,달서구청,053-667-2536,2022-10-21 13:40:01
22102182,떡군이네 떡볶이 중북구점,10,대구,북구,27230,성북로 8,침산2지구아파트,침산동 456-7,침산2지구아파트,053-353-3699,8100202409,,김미자,01,,떡군이네떡볶이,01,12,30,35.89012206,128.5850692,1100,2200,1100,2200,1100,2200,1100,2200,3+5,Y,북구청,053-665-2527,2022-10-21 13:38:37
